"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",1
"9",0
"10",3
"11",0
"12",0
"13",0
"14",0
"15",3
"16",0
"17",0
"18",0
"19",0
"20",1
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",2
"29",0
"30",0
"31",0
"32",1
"33",0
"34",0
"35",0
"36",0
"37",1
"38",0
"39",0
"40",0
"41",1
"42",1
"43",2
"44",0
"45",0
"46",0
"47",3
"48",1
"49",0
"50",0
"51",0
"52",1
"53",2
"54",0
"55",0
"56",1
"57",1
"58",1
"59",0
"60",1
"61",2
"62",4
"63",4
"64",0
"65",0
"66",0
"67",1
"68",3
"69",0
"70",1
"71",0
"72",1
"73",1
"74",0
"75",1
"76",0
"77",1
"78",0
"79",0
"80",0
"81",1
"82",3
"83",0
"84",0
"85",0
"86",2
"87",0
"88",0
"89",0
"90",3
"91",0
"92",0
"93",0
"94",0
"95",0
"96",1
"97",0
"98",0
"99",0
"100",1
"101",1
"102",0
"103",0
"104",0
"105",2
"106",1
"107",0
"108",0
"109",1
"110",2
"111",3
"112",1
"113",0
"114",3
"115",2
"116",3
"117",1
"118",2
"119",4
"120",5
"121",1
"122",6
"123",2
"124",2
"125",2
"126",3
"127",6
"128",1
"129",0
"130",1
"131",8
"132",0
"133",0
"134",0
"135",1
"136",1
"137",1
"138",0
"139",1
"140",0
"141",5
"142",0
"143",0
"144",2
"145",0
"146",3
"147",0
"148",1
"149",0
"150",5
"151",2
"152",5
"153",0
"154",2
"155",4
"156",4
"157",5
"158",1
"159",5
"160",1
"161",4
"162",1
"163",2
"164",0
"165",4
"166",1
"167",6
"168",0
"169",3
"170",5
"171",7
"172",2
"173",0
"174",16
"175",20
"176",1
"177",0
"178",1
"179",10
"180",23
"181",2
"182",2
"183",0
"184",8
"185",5
"186",0
"187",1
"188",1
"189",22
"190",2
"191",0
"192",2
"193",1
"194",9
"195",1
"196",0
"197",1
"198",3
"199",6
"200",0
"201",3
"202",0
"203",5
"204",1
"205",0
"206",2
"207",0
"208",0
"209",0
"210",1
"211",0
