"","x"
"1",0
"2",1
"3",2
"4",2
"5",2
"6",2
"7",3
"8",2
"9",4
"10",5
"11",4
"12",4
"13",2
"14",1
"15",1
"16",2
"17",2
"18",4
"19",2
"20",0
"21",0
"22",0
"23",0
"24",1
"25",2
"26",4
"27",5
"28",2
"29",0
"30",1
"31",3
"32",3
"33",1
"34",0
"35",0
"36",1
"37",1
"38",0
"39",1
"40",3
"41",6
"42",1
"43",1
"44",1
"45",1
"46",2
"47",4
"48",4
"49",4
"50",6
"51",8
"52",8
"53",8
"54",5
"55",2
"56",1
"57",1
"58",2
"59",4
"60",5
"61",11
"62",5
"63",6
"64",1
"65",1
"66",3
"67",4
"68",3
"69",5
"70",6
"71",3
"72",2
"73",3
"74",3
"75",4
"76",0
"77",0
"78",0
"79",0
"80",0
"81",1
"82",3
"83",2
"84",2
"85",3
"86",0
"87",2
"88",2
"89",1
"90",1
"91",2
"92",3
"93",4
"94",6
"95",5
"96",7
"97",4
"98",2
"99",3
"100",2
"101",4
"102",6
"103",4
"104",3
"105",5
"106",8
"107",5
"108",6
"109",5
"110",7
"111",6
"112",3
"113",4
"114",2
"115",0
"116",1
"117",1
"118",2
"119",7
"120",1
"121",2
"122",3
"123",3
"124",2
"125",1
"126",2
"127",2
"128",1
"129",3
"130",3
"131",2
"132",1
"133",1
"134",2
"135",3
"136",2
"137",0
"138",1
"139",3
"140",5
"141",4
"142",5
"143",2
"144",1
"145",2
"146",0
"147",0
"148",1
"149",2
"150",2
"151",4
"152",4
"153",5
"154",5
"155",3
"156",3
"157",3
"158",1
"159",2
"160",2
"161",1
"162",1
"163",1
"164",0
"165",0
"166",1
"167",3
"168",1
"169",1
"170",2
"171",1
"172",2
"173",0
"174",1
"175",2
"176",1
"177",1
"178",2
"179",3
"180",5
"181",6
"182",7
"183",4
"184",3
"185",1
"186",0
"187",1
"188",2
"189",4
"190",2
"191",1
"192",3
"193",5
"194",5
"195",2
"196",1
"197",2
"198",1
"199",1
"200",0
"201",0
"202",0
"203",1
"204",1
"205",0
"206",0
"207",1
"208",0
"209",0
"210",0
"211",0
