"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",1
"8",0
"9",0
"10",0
"11",1
"12",0
"13",1
"14",0
"15",0
"16",0
"17",0
"18",1
"19",0
"20",1
"21",0
"22",0
"23",0
"24",0
"25",3
"26",0
"27",1
"28",0
"29",0
"30",1
"31",2
"32",2
"33",1
"34",0
"35",1
"36",4
"37",5
"38",1
"39",0
"40",3
"41",4
"42",3
"43",2
"44",1
"45",4
"46",2
"47",2
"48",4
"49",3
"50",1
"51",3
"52",3
"53",8
"54",4
"55",3
"56",3
"57",2
"58",12
"59",1
"60",4
"61",3
"62",2
"63",5
"64",1
"65",4
"66",0
"67",4
"68",1
"69",0
"70",0
"71",1
"72",3
"73",2
"74",0
"75",0
"76",1
"77",6
"78",1
"79",0
"80",0
"81",3
"82",2
"83",2
"84",0
"85",0
"86",3
"87",2
"88",0
"89",1
"90",1
"91",5
"92",1
"93",0
"94",3
"95",5
"96",8
"97",1
"98",0
"99",4
"100",6
"101",5
"102",1
"103",0
"104",2
"105",4
"106",3
"107",0
"108",0
"109",1
"110",5
"111",1
"112",0
"113",0
"114",1
"115",2
"116",1
"117",0
"118",0
"119",2
"120",0
"121",2
"122",0
"123",0
"124",0
"125",0
"126",2
"127",1
"128",0
"129",0
"130",0
"131",9
"132",1
"133",0
"134",0
"135",1
"136",5
"137",1
"138",0
"139",0
"140",0
"141",3
"142",2
"143",0
"144",1
"145",0
"146",4
"147",0
"148",1
"149",0
"150",0
"151",4
"152",1
"153",1
"154",0
"155",1
"156",6
"157",2
"158",3
"159",0
"160",2
"161",5
"162",3
"163",1
"164",2
"165",0
"166",4
"167",1
"168",4
"169",1
"170",1
"171",1
"172",2
"173",2
"174",1
"175",0
"176",1
"177",5
"178",1
"179",0
"180",3
"181",3
"182",5
"183",0
"184",1
"185",5
"186",11
"187",3
"188",0
"189",1
"190",5
"191",9
"192",3
"193",0
"194",4
"195",4
"196",2
"197",3
"198",1
"199",5
"200",4
"201",1
"202",3
"203",2
"204",2
"205",0
"206",0
"207",2
"208",2
"209",1
"210",0
"211",0
