"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",1
"7",0
"8",0
"9",0
"10",0
"11",1
"12",0
"13",0
"14",0
"15",0
"16",1
"17",0
"18",1
"19",0
"20",0
"21",2
"22",2
"23",1
"24",0
"25",1
"26",2
"27",2
"28",1
"29",0
"30",0
"31",5
"32",2
"33",1
"34",0
"35",2
"36",5
"37",3
"38",0
"39",0
"40",1
"41",4
"42",0
"43",0
"44",1
"45",3
"46",2
"47",0
"48",0
"49",1
"50",2
"51",2
"52",0
"53",0
"54",3
"55",4
"56",2
"57",0
"58",0
"59",4
"60",0
"61",1
"62",1
"63",0
"64",0
"65",0
"66",4
"67",0
"68",0
"69",0
"70",0
"71",3
"72",0
"73",0
"74",0
"75",0
"76",1
"77",0
"78",0
"79",0
"80",0
"81",2
"82",0
"83",1
"84",0
"85",0
"86",1
"87",0
"88",0
"89",0
"90",1
"91",2
"92",1
"93",1
"94",0
"95",2
"96",2
"97",1
"98",0
"99",0
"100",1
"101",2
"102",1
"103",1
"104",1
"105",0
"106",2
"107",2
"108",2
"109",1
"110",1
"111",1
"112",5
"113",1
"114",2
"115",1
"116",5
"117",3
"118",2
"119",5
"120",2
"121",7
"122",2
"123",4
"124",2
"125",5
"126",8
"127",2
"128",1
"129",3
"130",5
"131",8
"132",3
"133",1
"134",1
"135",2
"136",3
"137",2
"138",3
"139",3
"140",2
"141",2
"142",2
"143",2
"144",2
"145",1
"146",3
"147",3
"148",4
"149",2
"150",2
"151",4
"152",1
"153",5
"154",4
"155",3
"156",3
"157",3
"158",1
"159",1
"160",2
"161",3
"162",1
"163",1
"164",1
"165",3
"166",6
"167",2
"168",2
"169",2
"170",3
"171",6
"172",2
"173",3
"174",2
"175",3
"176",3
"177",2
"178",0
"179",0
"180",1
"181",2
"182",1
"183",0
"184",0
"185",1
"186",4
"187",1
"188",2
"189",1
"190",1
"191",1
"192",2
"193",2
"194",0
"195",2
"196",0
"197",1
"198",1
"199",2
"200",1
"201",0
"202",3
"203",0
"204",3
"205",1
"206",1
"207",0
"208",0
"209",4
"210",2
"211",2
