"","x"
"1",0
"2",0
"3",0
"4",2
"5",0
"6",3
"7",3
"8",2
"9",8
"10",7
"11",25
"12",46
"13",10
"14",87
"15",288
"16",45
"17",51
"18",29
"19",75
"20",42
"21",17
"22",37
"23",20
"24",8
"25",64
"26",2
"27",5
"28",9
"29",8
"30",11
"31",28
"32",24
"33",6
"34",13
"35",20
"36",3
"37",28
"38",28
"39",4
"40",3
"41",15
"42",7
"43",13
"44",10
"45",11
"46",4
"47",8
"48",23
"49",7
"50",15
"51",55
"52",0
"53",153
"54",29
"55",6
"56",364
"57",34
"58",35
"59",40
"60",23
"61",45
"62",88
"63",43
"64",175
"65",175
"66",83
"67",344
"68",48
"69",175
"70",168
"71",47
"72",79
"73",34
"74",7
"75",117
"76",8
"77",45
"78",57
"79",30
"80",61
"81",1
"82",12
"83",4
"84",1
"85",2
"86",12
"87",3
"88",3
"89",4
"90",3
"91",6
"92",3
"93",0
"94",10
"95",7
"96",0
"97",2
"98",12
"99",0
"100",18
"101",11
"102",2
"103",22
"104",4
"105",2
"106",5
"107",2
"108",8
"109",6
"110",28
"111",23
"112",15
"113",4
"114",29
"115",20
"116",5
"117",42
"118",15
"119",1
"120",46
"121",13
"122",6
"123",12
"124",9
"125",44
"126",5
"127",3
"128",5
"129",1
"130",2
"131",8
"132",1
"133",8
"134",9
"135",5
"136",11
"137",15
"138",8
"139",13
"140",25
"141",6
"142",58
"143",10
"144",0
"145",36
"146",0
"147",1
"148",3
"149",0
"150",1
"151",6
"152",0
"153",1
"154",1
"155",0
"156",5
"157",2
"158",0
"159",9
"160",2
"161",9
"162",16
"163",6
"164",27
"165",41
"166",48
"167",5
"168",22
"169",78
"170",10
"171",114
"172",36
"173",6
"174",198
"175",7
"176",18
"177",133
"178",11
"179",0
"180",53
"181",9
"182",4
"183",12
"184",3
"185",21
"186",6
"187",10
"188",14
"189",8
"190",20
"191",5
"192",25
"193",17
"194",2
"195",30
"196",12
"197",3
"198",27
"199",4
"200",2
"201",8
"202",9
"203",3
"204",41
"205",5
"206",11
"207",48
"208",1
"209",12
"210",11
"211",3
