"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",2
"7",0
"8",3
"9",1
"10",1
"11",5
"12",12
"13",58
"14",4
"15",7
"16",67
"17",152
"18",32
"19",4
"20",111
"21",54
"22",64
"23",5
"24",13
"25",51
"26",43
"27",3
"28",7
"29",8
"30",4
"31",18
"32",1
"33",10
"34",4
"35",5
"36",14
"37",1
"38",3
"39",2
"40",19
"41",5
"42",1
"43",7
"44",15
"45",23
"46",18
"47",0
"48",19
"49",54
"50",8
"51",24
"52",5
"53",62
"54",5
"55",26
"56",74
"57",9
"58",24
"59",14
"60",76
"61",133
"62",14
"63",51
"64",45
"65",54
"66",86
"67",66
"68",45
"69",37
"70",24
"71",58
"72",4
"73",74
"74",18
"75",56
"76",72
"77",28
"78",20
"79",15
"80",35
"81",4
"82",0
"83",5
"84",33
"85",2
"86",2
"87",2
"88",7
"89",11
"90",6
"91",3
"92",3
"93",11
"94",9
"95",6
"96",15
"97",8
"98",6
"99",12
"100",0
"101",22
"102",7
"103",37
"104",3
"105",1
"106",38
"107",32
"108",11
"109",13
"110",3
"111",63
"112",34
"113",29
"114",31
"115",7
"116",148
"117",67
"118",73
"119",72
"120",65
"121",81
"122",60
"123",93
"124",87
"125",224
"126",161
"127",67
"128",4
"129",49
"130",71
"131",130
"132",6
"133",6
"134",19
"135",59
"136",27
"137",10
"138",33
"139",14
"140",27
"141",0
"142",17
"143",12
"144",6
"145",5
"146",0
"147",22
"148",13
"149",21
"150",2
"151",3
"152",19
"153",25
"154",26
"155",4
"156",19
"157",33
"158",20
"159",39
"160",23
"161",36
"162",110
"163",24
"164",25
"165",62
"166",73
"167",20
"168",44
"169",304
"170",19
"171",89
"172",43
"173",369
"174",289
"175",37
"176",252
"177",180
"178",218
"179",151
"180",14
"181",401
"182",20
"183",204
"184",24
"185",4
"186",67
"187",1
"188",29
"189",15
"190",4
"191",0
"192",2
"193",81
"194",4
"195",5
"196",1
"197",0
"198",27
"199",2
"200",7
"201",0
"202",6
"203",11
"204",2
"205",3
"206",4
"207",1
"208",23
"209",20
"210",22
"211",7
