"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",6
"8",1
"9",1
"10",3
"11",4
"12",7
"13",12
"14",8
"15",8
"16",21
"17",34
"18",37
"19",14
"20",20
"21",12
"22",67
"23",39
"24",13
"25",5
"26",11
"27",2
"28",6
"29",7
"30",3
"31",1
"32",4
"33",9
"34",3
"35",8
"36",6
"37",1
"38",11
"39",0
"40",12
"41",3
"42",11
"43",2
"44",3
"45",1
"46",22
"47",28
"48",4
"49",16
"50",4
"51",19
"52",5
"53",23
"54",8
"55",24
"56",13
"57",8
"58",40
"59",94
"60",68
"61",11
"62",36
"63",47
"64",30
"65",73
"66",26
"67",53
"68",18
"69",29
"70",24
"71",86
"72",30
"73",31
"74",61
"75",206
"76",25
"77",30
"78",6
"79",23
"80",88
"81",4
"82",3
"83",13
"84",7
"85",19
"86",2
"87",4
"88",5
"89",3
"90",7
"91",6
"92",5
"93",5
"94",4
"95",7
"96",18
"97",11
"98",20
"99",0
"100",13
"101",41
"102",11
"103",7
"104",4
"105",30
"106",89
"107",9
"108",21
"109",35
"110",35
"111",158
"112",58
"113",26
"114",45
"115",189
"116",75
"117",13
"118",164
"119",170
"120",219
"121",11
"122",4
"123",61
"124",86
"125",107
"126",21
"127",3
"128",11
"129",41
"130",7
"131",4
"132",18
"133",10
"134",24
"135",2
"136",0
"137",60
"138",10
"139",3
"140",4
"141",5
"142",9
"143",26
"144",1
"145",13
"146",1
"147",12
"148",5
"149",3
"150",2
"151",1
"152",9
"153",17
"154",1
"155",1
"156",16
"157",5
"158",2
"159",3
"160",19
"161",63
"162",38
"163",10
"164",42
"165",153
"166",221
"167",57
"168",33
"169",32
"170",31
"171",185
"172",103
"173",35
"174",54
"175",189
"176",133
"177",105
"178",21
"179",161
"180",25
"181",2
"182",70
"183",18
"184",36
"185",25
"186",5
"187",10
"188",17
"189",13
"190",3
"191",2
"192",5
"193",24
"194",1
"195",0
"196",4
"197",7
"198",1
"199",0
"200",0
"201",1
"202",7
"203",4
"204",1
"205",3
"206",2
"207",37
"208",0
"209",7
"210",1
"211",7
