"","x"
"1",0
"2",0
"3",0
"4",2
"5",3
"6",5
"7",12
"8",11
"9",16
"10",27
"11",46
"12",57
"13",54
"14",73
"15",105
"16",42
"17",54
"18",52
"19",27
"20",69
"21",30
"22",19
"23",72
"24",19
"25",21
"26",47
"27",7
"28",12
"29",15
"30",11
"31",30
"32",38
"33",21
"34",16
"35",17
"36",23
"37",10
"38",20
"39",20
"40",10
"41",20
"42",15
"43",13
"44",18
"45",22
"46",27
"47",22
"48",26
"49",49
"50",25
"51",33
"52",34
"53",41
"54",58
"55",115
"56",113
"57",74
"58",120
"59",78
"60",62
"61",94
"62",105
"63",151
"64",210
"65",94
"66",115
"67",195
"68",92
"69",104
"70",77
"71",155
"72",60
"73",37
"74",36
"75",53
"76",11
"77",31
"78",21
"79",23
"80",22
"81",8
"82",9
"83",9
"84",12
"85",3
"86",18
"87",8
"88",6
"89",11
"90",8
"91",16
"92",12
"93",14
"94",7
"95",12
"96",17
"97",8
"98",32
"99",12
"100",14
"101",39
"102",20
"103",17
"104",27
"105",15
"106",9
"107",17
"108",27
"109",82
"110",58
"111",62
"112",88
"113",40
"114",81
"115",106
"116",32
"117",81
"118",96
"119",98
"120",147
"121",72
"122",106
"123",40
"124",37
"125",100
"126",25
"127",18
"128",34
"129",15
"130",12
"131",38
"132",9
"133",19
"134",16
"135",21
"136",10
"137",29
"138",20
"139",9
"140",17
"141",15
"142",9
"143",40
"144",4
"145",32
"146",13
"147",17
"148",13
"149",32
"150",11
"151",17
"152",17
"153",24
"154",23
"155",17
"156",31
"157",29
"158",11
"159",47
"160",24
"161",43
"162",28
"163",35
"164",30
"165",89
"166",46
"167",48
"168",49
"169",84
"170",70
"171",106
"172",105
"173",68
"174",202
"175",92
"176",200
"177",211
"178",74
"179",97
"180",58
"181",98
"182",35
"183",21
"184",21
"185",15
"186",15
"187",9
"188",15
"189",14
"190",11
"191",7
"192",9
"193",22
"194",7
"195",6
"196",19
"197",6
"198",15
"199",5
"200",9
"201",24
"202",14
"203",11
"204",14
"205",21
"206",18
"207",31
"208",26
"209",17
"210",22
"211",23
