"","x"
"1",0
"2",0
"3",0
"4",0
"5",2
"6",1
"7",4
"8",23
"9",2
"10",20
"11",22
"12",17
"13",30
"14",62
"15",34
"16",19
"17",101
"18",67
"19",38
"20",42
"21",4
"22",30
"23",4
"24",9
"25",6
"26",9
"27",1
"28",4
"29",2
"30",4
"31",18
"32",6
"33",0
"34",6
"35",5
"36",1
"37",28
"38",2
"39",6
"40",2
"41",5
"42",1
"43",7
"44",3
"45",14
"46",8
"47",20
"48",4
"49",8
"50",4
"51",1
"52",48
"53",5
"54",31
"55",114
"56",86
"57",60
"58",69
"59",166
"60",120
"61",128
"62",56
"63",127
"64",107
"65",73
"66",262
"67",68
"68",30
"69",170
"70",13
"71",16
"72",12
"73",21
"74",5
"75",40
"76",15
"77",7
"78",36
"79",31
"80",7
"81",21
"82",6
"83",2
"84",81
"85",1
"86",2
"87",30
"88",4
"89",9
"90",22
"91",6
"92",90
"93",2
"94",10
"95",23
"96",0
"97",17
"98",11
"99",0
"100",49
"101",15
"102",1
"103",64
"104",15
"105",3
"106",28
"107",0
"108",18
"109",61
"110",0
"111",159
"112",17
"113",3
"114",134
"115",19
"116",51
"117",39
"118",43
"119",104
"120",127
"121",17
"122",112
"123",30
"124",51
"125",185
"126",24
"127",42
"128",74
"129",12
"130",5
"131",48
"132",3
"133",3
"134",9
"135",6
"136",1
"137",20
"138",7
"139",5
"140",14
"141",1
"142",4
"143",12
"144",5
"145",20
"146",15
"147",5
"148",9
"149",28
"150",2
"151",26
"152",25
"153",5
"154",82
"155",25
"156",41
"157",135
"158",24
"159",143
"160",142
"161",15
"162",89
"163",34
"164",26
"165",152
"166",60
"167",23
"168",201
"169",131
"170",31
"171",120
"172",272
"173",48
"174",220
"175",145
"176",221
"177",193
"178",127
"179",114
"180",60
"181",118
"182",86
"183",25
"184",11
"185",28
"186",19
"187",16
"188",29
"189",6
"190",13
"191",3
"192",8
"193",24
"194",10
"195",4
"196",11
"197",14
"198",12
"199",21
"200",13
"201",2
"202",124
"203",4
"204",15
"205",25
"206",0
"207",31
"208",14
"209",4
"210",26
"211",21
