"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",8
"7",2
"8",2
"9",0
"10",12
"11",57
"12",27
"13",0
"14",3
"15",23
"16",23
"17",11
"18",3
"19",34
"20",34
"21",9
"22",29
"23",7
"24",24
"25",26
"26",10
"27",34
"28",6
"29",10
"30",13
"31",7
"32",35
"33",12
"34",0
"35",18
"36",9
"37",9
"38",1
"39",0
"40",8
"41",12
"42",7
"43",1
"44",0
"45",9
"46",7
"47",18
"48",2
"49",1
"50",22
"51",3
"52",5
"53",1
"54",11
"55",17
"56",6
"57",7
"58",21
"59",19
"60",50
"61",13
"62",63
"63",99
"64",54
"65",52
"66",72
"67",159
"68",23
"69",70
"70",43
"71",28
"72",101
"73",30
"74",75
"75",34
"76",21
"77",24
"78",2
"79",27
"80",42
"81",8
"82",5
"83",8
"84",10
"85",8
"86",29
"87",3
"88",8
"89",2
"90",10
"91",17
"92",1
"93",4
"94",2
"95",22
"96",8
"97",5
"98",17
"99",8
"100",11
"101",20
"102",16
"103",56
"104",24
"105",48
"106",42
"107",19
"108",6
"109",45
"110",10
"111",361
"112",23
"113",5
"114",100
"115",177
"116",42
"117",109
"118",8
"119",232
"120",271
"121",104
"122",27
"123",19
"124",9
"125",150
"126",52
"127",13
"128",6
"129",6
"130",38
"131",49
"132",15
"133",16
"134",10
"135",48
"136",15
"137",6
"138",19
"139",8
"140",20
"141",2
"142",4
"143",9
"144",10
"145",21
"146",0
"147",1
"148",30
"149",3
"150",1
"151",3
"152",0
"153",47
"154",11
"155",4
"156",4
"157",12
"158",16
"159",26
"160",16
"161",3
"162",93
"163",17
"164",28
"165",164
"166",41
"167",115
"168",28
"169",68
"170",124
"171",68
"172",98
"173",58
"174",244
"175",108
"176",175
"177",36
"178",206
"179",25
"180",93
"181",211
"182",77
"183",72
"184",2
"185",81
"186",106
"187",111
"188",32
"189",4
"190",27
"191",28
"192",41
"193",23
"194",18
"195",43
"196",9
"197",2
"198",23
"199",17
"200",10
"201",6
"202",2
"203",4
"204",4
"205",0
"206",1
"207",3
"208",33
"209",3
"210",6
"211",3
