"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",1
"7",3
"8",1
"9",6
"10",6
"11",40
"12",3
"13",22
"14",38
"15",29
"16",63
"17",58
"18",157
"19",40
"20",29
"21",27
"22",40
"23",67
"24",4
"25",17
"26",32
"27",31
"28",4
"29",0
"30",14
"31",14
"32",7
"33",1
"34",0
"35",3
"36",20
"37",4
"38",3
"39",1
"40",7
"41",5
"42",1
"43",1
"44",10
"45",17
"46",2
"47",6
"48",3
"49",43
"50",6
"51",12
"52",4
"53",28
"54",102
"55",25
"56",17
"57",19
"58",19
"59",272
"60",100
"61",17
"62",10
"63",240
"64",547
"65",29
"66",34
"67",165
"68",436
"69",48
"70",37
"71",42
"72",961
"73",77
"74",41
"75",26
"76",4
"77",16
"78",43
"79",7
"80",4
"81",0
"82",18
"83",27
"84",2
"85",2
"86",3
"87",3
"88",7
"89",0
"90",4
"91",0
"92",15
"93",4
"94",0
"95",1
"96",0
"97",21
"98",0
"99",1
"100",1
"101",2
"102",10
"103",8
"104",12
"105",25
"106",3
"107",4
"108",8
"109",5
"110",8
"111",31
"112",18
"113",29
"114",32
"115",90
"116",69
"117",96
"118",49
"119",62
"120",160
"121",110
"122",68
"123",16
"124",8
"125",143
"126",215
"127",8
"128",11
"129",13
"130",18
"131",114
"132",6
"133",1
"134",14
"135",51
"136",105
"137",11
"138",13
"139",8
"140",3
"141",81
"142",5
"143",27
"144",1
"145",30
"146",8
"147",10
"148",3
"149",7
"150",17
"151",24
"152",3
"153",8
"154",8
"155",10
"156",8
"157",23
"158",29
"159",28
"160",51
"161",32
"162",26
"163",24
"164",54
"165",332
"166",5
"167",26
"168",22
"169",120
"170",105
"171",109
"172",11
"173",34
"174",213
"175",104
"176",42
"177",25
"178",140
"179",50
"180",37
"181",24
"182",73
"183",116
"184",78
"185",17
"186",8
"187",31
"188",7
"189",10
"190",18
"191",4
"192",28
"193",14
"194",5
"195",3
"196",4
"197",4
"198",24
"199",1
"200",0
"201",2
"202",3
"203",12
"204",2
"205",3
"206",4
"207",11
"208",11
"209",2
"210",6
"211",22
