"","x"
"1",0
"2",0
"3",0
"4",0
"5",2
"6",0
"7",6
"8",1
"9",3
"10",17
"11",7
"12",22
"13",37
"14",29
"15",66
"16",36
"17",45
"18",39
"19",36
"20",46
"21",31
"22",19
"23",61
"24",11
"25",17
"26",30
"27",4
"28",24
"29",13
"30",9
"31",52
"32",23
"33",23
"34",15
"35",21
"36",21
"37",14
"38",19
"39",28
"40",3
"41",15
"42",7
"43",10
"44",12
"45",11
"46",14
"47",29
"48",23
"49",29
"50",31
"51",16
"52",46
"53",42
"54",44
"55",140
"56",88
"57",68
"58",139
"59",74
"60",62
"61",102
"62",118
"63",134
"64",221
"65",115
"66",110
"67",181
"68",90
"69",109
"70",68
"71",147
"72",69
"73",44
"74",42
"75",58
"76",21
"77",42
"78",20
"79",24
"80",22
"81",13
"82",6
"83",8
"84",19
"85",2
"86",13
"87",4
"88",9
"89",6
"90",8
"91",19
"92",10
"93",11
"94",14
"95",1
"96",17
"97",5
"98",14
"99",13
"100",6
"101",27
"102",18
"103",25
"104",15
"105",25
"106",14
"107",20
"108",46
"109",108
"110",76
"111",86
"112",81
"113",52
"114",103
"115",114
"116",54
"117",112
"118",116
"119",148
"120",183
"121",75
"122",104
"123",65
"124",36
"125",116
"126",23
"127",25
"128",35
"129",20
"130",21
"131",40
"132",3
"133",45
"134",13
"135",18
"136",21
"137",33
"138",26
"139",14
"140",16
"141",13
"142",3
"143",52
"144",4
"145",20
"146",10
"147",17
"148",9
"149",27
"150",8
"151",20
"152",19
"153",20
"154",34
"155",27
"156",19
"157",35
"158",18
"159",36
"160",35
"161",57
"162",30
"163",50
"164",36
"165",88
"166",59
"167",43
"168",57
"169",107
"170",61
"171",115
"172",111
"173",52
"174",209
"175",88
"176",188
"177",213
"178",87
"179",83
"180",31
"181",89
"182",18
"183",14
"184",23
"185",13
"186",6
"187",17
"188",16
"189",11
"190",18
"191",7
"192",10
"193",30
"194",6
"195",15
"196",17
"197",6
"198",19
"199",11
"200",5
"201",20
"202",12
"203",11
"204",21
"205",18
"206",36
"207",40
"208",20
"209",24
"210",20
"211",34
