"","x"
"1",0
"2",0
"3",0
"4",1
"5",3
"6",17
"7",65
"8",42
"9",9
"10",9
"11",50
"12",75
"13",75
"14",265
"15",245
"16",50
"17",34
"18",14
"19",16
"20",31
"21",15
"22",12
"23",4
"24",3
"25",2
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",4
"33",34
"34",10
"35",9
"36",5
"37",4
"38",5
"39",7
"40",29
"41",23
"42",11
"43",13
"44",36
"45",17
"46",44
"47",37
"48",36
"49",173
"50",87
"51",38
"52",30
"53",60
"54",31
"55",159
"56",205
"57",26
"58",38
"59",100
"60",54
"61",28
"62",40
"63",87
"64",162
"65",67
"66",29
"67",40
"68",55
"69",73
"70",17
"71",9
"72",6
"73",10
"74",11
"75",18
"76",43
"77",31
"78",4
"79",17
"80",18
"81",13
"82",23
"83",7
"84",2
"85",3
"86",0
"87",0
"88",0
"89",0
"90",3
"91",2
"92",13
"93",9
"94",10
"95",3
"96",4
"97",4
"98",10
"99",21
"100",21
"101",15
"102",72
"103",38
"104",25
"105",4
"106",3
"107",8
"108",16
"109",52
"110",78
"111",148
"112",54
"113",17
"114",19
"115",92
"116",61
"117",47
"118",16
"119",4
"120",18
"121",2
"122",10
"123",11
"124",13
"125",14
"126",38
"127",24
"128",11
"129",6
"130",6
"131",3
"132",8
"133",6
"134",16
"135",11
"136",1
"137",9
"138",15
"139",43
"140",49
"141",10
"142",7
"143",13
"144",22
"145",39
"146",70
"147",11
"148",6
"149",13
"150",11
"151",2
"152",11
"153",32
"154",96
"155",65
"156",45
"157",121
"158",61
"159",12
"160",17
"161",74
"162",23
"163",45
"164",41
"165",114
"166",26
"167",68
"168",19
"169",17
"170",37
"171",21
"172",78
"173",47
"174",269
"175",332
"176",231
"177",629
"178",401
"179",144
"180",18
"181",26
"182",9
"183",7
"184",7
"185",14
"186",8
"187",9
"188",10
"189",18
"190",13
"191",13
"192",6
"193",13
"194",3
"195",0
"196",1
"197",0
"198",2
"199",0
"200",1
"201",1
"202",5
"203",6
"204",1
"205",5
"206",10
"207",20
"208",9
"209",5
"210",2
"211",8
