"","x"
"1",0
"2",2
"3",10
"4",31
"5",33
"6",13
"7",16
"8",45
"9",210
"10",137
"11",142
"12",202
"13",210
"14",110
"15",134
"16",118
"17",12
"18",7
"19",2
"20",9
"21",37
"22",19
"23",12
"24",6
"25",5
"26",5
"27",1
"28",3
"29",4
"30",1
"31",2
"32",2
"33",0
"34",3
"35",6
"36",31
"37",22
"38",7
"39",12
"40",1
"41",3
"42",14
"43",27
"44",22
"45",7
"46",8
"47",14
"48",13
"49",35
"50",41
"51",21
"52",23
"53",52
"54",12
"55",5
"56",8
"57",19
"58",18
"59",79
"60",12
"61",21
"62",40
"63",14
"64",10
"65",15
"66",23
"67",25
"68",16
"69",27
"70",21
"71",11
"72",38
"73",14
"74",8
"75",5
"76",7
"77",24
"78",5
"79",10
"80",8
"81",20
"82",12
"83",6
"84",6
"85",8
"86",1
"87",3
"88",3
"89",3
"90",12
"91",25
"92",53
"93",14
"94",6
"95",4
"96",2
"97",4
"98",11
"99",9
"100",0
"101",2
"102",5
"103",53
"104",121
"105",220
"106",53
"107",73
"108",50
"109",35
"110",158
"111",44
"112",66
"113",122
"114",152
"115",132
"116",43
"117",36
"118",27
"119",40
"120",29
"121",7
"122",20
"123",14
"124",6
"125",17
"126",7
"127",12
"128",13
"129",1
"130",2
"131",5
"132",2
"133",1
"134",0
"135",0
"136",3
"137",8
"138",9
"139",1
"140",3
"141",7
"142",17
"143",14
"144",27
"145",9
"146",27
"147",28
"148",9
"149",6
"150",8
"151",29
"152",29
"153",17
"154",22
"155",1
"156",9
"157",46
"158",43
"159",28
"160",90
"161",153
"162",240
"163",237
"164",59
"165",171
"166",169
"167",168
"168",99
"169",154
"170",53
"171",78
"172",20
"173",2
"174",27
"175",26
"176",32
"177",30
"178",27
"179",9
"180",5
"181",31
"182",7
"183",6
"184",1
"185",1
"186",4
"187",4
"188",12
"189",2
"190",0
"191",1
"192",1
"193",3
"194",0
"195",0
"196",1
"197",1
"198",6
"199",18
"200",38
"201",15
"202",27
"203",20
"204",22
"205",30
"206",0
"207",0
"208",2
"209",11
"210",13
"211",1
