"","x"
"1",0
"2",0
"3",0
"4",0
"5",2
"6",9
"7",20
"8",29
"9",43
"10",49
"11",70
"12",70
"13",55
"14",42
"15",45
"16",41
"17",24
"18",15
"19",16
"20",19
"21",12
"22",14
"23",13
"24",7
"25",6
"26",3
"27",11
"28",11
"29",10
"30",6
"31",11
"32",20
"33",24
"34",23
"35",21
"36",14
"37",13
"38",23
"39",13
"40",14
"41",11
"42",12
"43",9
"44",16
"45",22
"46",30
"47",31
"48",23
"49",49
"50",34
"51",40
"52",41
"53",65
"54",72
"55",109
"56",153
"57",126
"58",65
"59",71
"60",64
"61",57
"62",57
"63",50
"64",44
"65",39
"66",41
"67",63
"68",40
"69",60
"70",31
"71",12
"72",10
"73",16
"74",15
"75",5
"76",4
"77",3
"78",3
"79",6
"80",9
"81",7
"82",6
"83",6
"84",7
"85",6
"86",3
"87",4
"88",8
"89",3
"90",15
"91",24
"92",37
"93",20
"94",17
"95",12
"96",7
"97",15
"98",29
"99",41
"100",62
"101",74
"102",66
"103",60
"104",69
"105",71
"106",56
"107",49
"108",38
"109",45
"110",84
"111",105
"112",86
"113",79
"114",74
"115",50
"116",51
"117",37
"118",53
"119",59
"120",55
"121",41
"122",23
"123",13
"124",18
"125",19
"126",27
"127",17
"128",17
"129",6
"130",5
"131",10
"132",6
"133",12
"134",13
"135",20
"136",14
"137",12
"138",14
"139",10
"140",9
"141",6
"142",7
"143",25
"144",31
"145",45
"146",42
"147",45
"148",29
"149",37
"150",38
"151",46
"152",38
"153",41
"154",44
"155",55
"156",49
"157",108
"158",107
"159",76
"160",126
"161",135
"162",124
"163",105
"164",80
"165",82
"166",95
"167",89
"168",60
"169",68
"170",92
"171",92
"172",52
"173",43
"174",49
"175",39
"176",63
"177",72
"178",82
"179",53
"180",22
"181",20
"182",10
"183",9
"184",7
"185",10
"186",10
"187",13
"188",12
"189",21
"190",18
"191",21
"192",12
"193",11
"194",11
"195",8
"196",7
"197",5
"198",17
"199",18
"200",13
"201",10
"202",11
"203",13
"204",21
"205",34
"206",39
"207",35
"208",31
"209",47
"210",100
"211",86
