"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",4
"7",1
"8",0
"9",2
"10",4
"11",20
"12",4
"13",0
"14",16
"15",26
"16",26
"17",4
"18",3
"19",21
"20",29
"21",14
"22",4
"23",6
"24",9
"25",19
"26",16
"27",7
"28",9
"29",9
"30",11
"31",17
"32",13
"33",7
"34",10
"35",20
"36",22
"37",18
"38",16
"39",17
"40",40
"41",9
"42",16
"43",28
"44",34
"45",21
"46",27
"47",32
"48",36
"49",40
"50",24
"51",56
"52",50
"53",62
"54",68
"55",76
"56",142
"57",118
"58",112
"59",132
"60",134
"61",205
"62",115
"63",113
"64",212
"65",131
"66",148
"67",185
"68",102
"69",257
"70",66
"71",113
"72",102
"73",71
"74",93
"75",30
"76",27
"77",45
"78",22
"79",45
"80",34
"81",12
"82",5
"83",12
"84",20
"85",12
"86",9
"87",4
"88",20
"89",8
"90",25
"91",12
"92",12
"93",32
"94",15
"95",17
"96",18
"97",35
"98",42
"99",29
"100",43
"101",44
"102",43
"103",61
"104",48
"105",72
"106",95
"107",51
"108",61
"109",118
"110",142
"111",140
"112",110
"113",96
"114",148
"115",214
"116",136
"117",142
"118",114
"119",202
"120",206
"121",140
"122",107
"123",85
"124",88
"125",137
"126",81
"127",38
"128",40
"129",21
"130",38
"131",53
"132",34
"133",28
"134",29
"135",38
"136",17
"137",36
"138",28
"139",25
"140",22
"141",14
"142",52
"143",46
"144",14
"145",24
"146",27
"147",56
"148",22
"149",31
"150",46
"151",51
"152",41
"153",34
"154",63
"155",71
"156",65
"157",103
"158",76
"159",78
"160",122
"161",122
"162",113
"163",122
"164",109
"165",180
"166",178
"167",176
"168",141
"169",147
"170",212
"171",224
"172",117
"173",128
"174",178
"175",177
"176",163
"177",161
"178",152
"179",127
"180",71
"181",93
"182",115
"183",60
"184",35
"185",62
"186",39
"187",48
"188",25
"189",26
"190",27
"191",23
"192",22
"193",16
"194",11
"195",25
"196",19
"197",19
"198",24
"199",11
"200",17
"201",14
"202",31
"203",28
"204",29
"205",30
"206",39
"207",49
"208",36
"209",50
"210",94
"211",50
