"","x"
"1",0
"2",0
"3",1
"4",12
"5",29
"6",47
"7",54
"8",51
"9",67
"10",69
"11",97
"12",82
"13",61
"14",43
"15",49
"16",24
"17",23
"18",19
"19",17
"20",35
"21",39
"22",27
"23",41
"24",21
"25",15
"26",11
"27",11
"28",11
"29",5
"30",8
"31",15
"32",29
"33",28
"34",29
"35",27
"36",16
"37",19
"38",15
"39",17
"40",14
"41",13
"42",15
"43",20
"44",19
"45",23
"46",26
"47",28
"48",22
"49",45
"50",24
"51",27
"52",45
"53",69
"54",75
"55",99
"56",139
"57",128
"58",60
"59",75
"60",69
"61",57
"62",43
"63",42
"64",45
"65",41
"66",29
"67",67
"68",52
"69",55
"70",25
"71",16
"72",8
"73",16
"74",18
"75",17
"76",11
"77",7
"78",3
"79",6
"80",7
"81",9
"82",4
"83",3
"84",5
"85",6
"86",15
"87",14
"88",20
"89",17
"90",29
"91",28
"92",35
"93",32
"94",23
"95",10
"96",5
"97",13
"98",22
"99",40
"100",43
"101",54
"102",71
"103",95
"104",77
"105",78
"106",53
"107",47
"108",55
"109",45
"110",77
"111",94
"112",85
"113",85
"114",68
"115",86
"116",83
"117",72
"118",50
"119",44
"120",59
"121",49
"122",30
"123",31
"124",23
"125",24
"126",25
"127",16
"128",14
"129",7
"130",2
"131",4
"132",3
"133",8
"134",7
"135",7
"136",6
"137",9
"138",10
"139",15
"140",11
"141",12
"142",21
"143",37
"144",34
"145",51
"146",33
"147",24
"148",15
"149",24
"150",23
"151",32
"152",35
"153",44
"154",47
"155",59
"156",56
"157",120
"158",121
"159",96
"160",152
"161",169
"162",142
"163",106
"164",72
"165",56
"166",89
"167",74
"168",61
"169",78
"170",86
"171",84
"172",47
"173",38
"174",41
"175",49
"176",41
"177",54
"178",66
"179",45
"180",22
"181",20
"182",16
"183",9
"184",5
"185",8
"186",10
"187",10
"188",10
"189",10
"190",8
"191",9
"192",5
"193",14
"194",10
"195",10
"196",12
"197",12
"198",20
"199",18
"200",13
"201",19
"202",22
"203",12
"204",22
"205",26
"206",40
"207",48
"208",50
"209",57
"210",107
"211",91
