"","x"
"1",0
"2",0
"3",0
"4",2
"5",0
"6",5
"7",6
"8",5
"9",18
"10",17
"11",32
"12",53
"13",35
"14",42
"15",46
"16",33
"17",36
"18",33
"19",26
"20",45
"21",18
"22",12
"23",28
"24",4
"25",15
"26",16
"27",1
"28",23
"29",8
"30",4
"31",35
"32",13
"33",12
"34",22
"35",11
"36",22
"37",21
"38",14
"39",30
"40",18
"41",14
"42",30
"43",22
"44",26
"45",27
"46",38
"47",33
"48",42
"49",52
"50",55
"51",59
"52",44
"53",44
"54",82
"55",117
"56",133
"57",139
"58",107
"59",87
"60",85
"61",135
"62",117
"63",115
"64",178
"65",87
"66",80
"67",173
"68",48
"69",145
"70",71
"71",69
"72",52
"73",21
"74",21
"75",34
"76",6
"77",13
"78",10
"79",10
"80",12
"81",6
"82",4
"83",12
"84",8
"85",1
"86",13
"87",6
"88",3
"89",4
"90",9
"91",9
"92",8
"93",8
"94",5
"95",6
"96",11
"97",11
"98",21
"99",24
"100",16
"101",44
"102",33
"103",26
"104",32
"105",40
"106",37
"107",55
"108",51
"109",145
"110",148
"111",116
"112",142
"113",104
"114",104
"115",166
"116",112
"117",113
"118",145
"119",151
"120",168
"121",111
"122",101
"123",86
"124",59
"125",77
"126",37
"127",24
"128",44
"129",18
"130",20
"131",18
"132",10
"133",10
"134",22
"135",13
"136",7
"137",15
"138",15
"139",10
"140",13
"141",11
"142",17
"143",27
"144",14
"145",38
"146",23
"147",37
"148",27
"149",40
"150",24
"151",39
"152",46
"153",39
"154",43
"155",74
"156",35
"157",97
"158",55
"159",60
"160",70
"161",107
"162",90
"163",81
"164",56
"165",164
"166",117
"167",91
"168",101
"169",113
"170",122
"171",117
"172",106
"173",77
"174",94
"175",90
"176",118
"177",128
"178",81
"179",65
"180",40
"181",51
"182",42
"183",18
"184",10
"185",26
"186",11
"187",13
"188",19
"189",19
"190",23
"191",5
"192",18
"193",20
"194",2
"195",25
"196",8
"197",6
"198",26
"199",4
"200",11
"201",17
"202",10
"203",22
"204",22
"205",32
"206",35
"207",39
"208",21
"209",55
"210",42
"211",41
