"","x"
"1",0
"2",1
"3",3
"4",8
"5",12
"6",25
"7",31
"8",37
"9",53
"10",50
"11",77
"12",77
"13",55
"14",40
"15",47
"16",24
"17",19
"18",11
"19",11
"20",18
"21",16
"22",9
"23",13
"24",10
"25",9
"26",7
"27",6
"28",5
"29",3
"30",1
"31",4
"32",16
"33",15
"34",20
"35",27
"36",16
"37",21
"38",21
"39",21
"40",21
"41",15
"42",12
"43",23
"44",25
"45",31
"46",36
"47",41
"48",24
"49",32
"50",30
"51",36
"52",47
"53",59
"54",66
"55",118
"56",172
"57",150
"58",75
"59",106
"60",91
"61",85
"62",63
"63",63
"64",49
"65",42
"66",35
"67",56
"68",35
"69",45
"70",35
"71",31
"72",16
"73",20
"74",13
"75",20
"76",11
"77",14
"78",15
"79",23
"80",18
"81",8
"82",4
"83",1
"84",4
"85",9
"86",18
"87",10
"88",18
"89",8
"90",8
"91",8
"92",14
"93",15
"94",25
"95",20
"96",10
"97",19
"98",44
"99",52
"100",58
"101",59
"102",54
"103",70
"104",86
"105",91
"106",74
"107",57
"108",49
"109",55
"110",76
"111",72
"112",74
"113",86
"114",78
"115",74
"116",70
"117",48
"118",42
"119",53
"120",56
"121",48
"122",22
"123",23
"124",20
"125",14
"126",25
"127",20
"128",20
"129",4
"130",1
"131",3
"132",7
"133",14
"134",12
"135",12
"136",8
"137",8
"138",5
"139",10
"140",12
"141",17
"142",22
"143",43
"144",32
"145",31
"146",34
"147",24
"148",18
"149",23
"150",29
"151",37
"152",36
"153",39
"154",50
"155",53
"156",69
"157",118
"158",121
"159",78
"160",149
"161",144
"162",130
"163",99
"164",68
"165",81
"166",103
"167",114
"168",70
"169",64
"170",79
"171",85
"172",65
"173",58
"174",65
"175",49
"176",64
"177",61
"178",50
"179",42
"180",34
"181",25
"182",19
"183",9
"184",8
"185",11
"186",11
"187",18
"188",18
"189",25
"190",11
"191",10
"192",14
"193",15
"194",7
"195",5
"196",5
"197",3
"198",8
"199",11
"200",9
"201",13
"202",17
"203",23
"204",31
"205",43
"206",60
"207",44
"208",44
"209",71
"210",140
"211",100
